UniqueID,Location,Latitude,Longitude,Date (Gregorian Calendar),Hour (UTC),Tornado,Waterspout,Max. EF Rating,Fatalities,Injured,Region,Comune
CL0061,Alto del Rey (San Pedro de la Paz),-36.825381,-73.151671,2019-06-13,20:00-21:00,1,1.0,0,0,0,CL-BI,san pedro de la paz
CL0062,Pucatrihue,-40.537,-73.719,2019-10-28,21:38:00,0,1.0,0*,0,0,Not found,Not found
CL0063,"Sector Manzanares, Renaico",-37.6747,-72.5854,2020-04-25,07:00:00,1,0.0,0,0,0,CL-AR,renaico
CL0064,"Fresia, Los Lagos",-41.15262,-73.48074,2020-04-25,NaT,1,0.0,0,0,0,,
CL0065,"Chamiza, Puerto Montt",-41.4842,-72.8495,2020-05-03,20:30:00,1,0.0,0,0,0,CL-LL,puerto montt
CL0066,"Puralaco, Toltén",-39.3022,-73.1578,2020-06-15,,1,0.0,1,0,0,CL-AR,tolten
CL0067,"Sector Talquita, Parral",-36.2376,-71.8076,2020-06-19,16:00:00,1,0.0,0,0,0,CL-ML,parral
CL0068,Yerbas Buenas (San Carlos de Arquén),-35.73889,-71.58102,2020-06-24,NaT,1,0.0,0*,0,0,CL-ML,yerbas buenas
CL0069,Llico,-34.774,-72.063,2020-06-24,18:30:00,1,0.0,0*,0,0,CL-ML,vichuquen
CL0070,Iloca (Duao),-34.878,-72.158,2020-06-29,15:15:00,0,1.0,0*,0,0,Not found,Not found
CL0071,"Chigualoco, Los Vilos",-31.755,-71.514,2020-06-29,19:49:00,0,1.0,0*,0,0,Not found,Not found
CL0072,Quintay-El Quisco (Punta de Tralca),-33.426426,-71.702984,2020-07-04,20:40:00 - 21:40:00,0,1.0,0,0,0,CL-VS,el quisco
CL0073,Tocopilla,-22.092,-70.207,2020-08-24,21:08:00,0,1.0,0*,0,0,Not found,Not found
CL0074,Llanquihue,-41.268268,-72.993278,2021-04-08,17:00:00 - 18:00:00,1,1.0,0,0,0,CL-LL,llanquihue
CL0075,Lago Villarrica,-39.2563225272082,-72.1577150404176,2021-05-03,22:20:00,0,1.0,0*,0,0,CL-AR,villarrica
CL0076,Ancud,-41.8615577658789,-73.8190285948799,2021-06-09,10:30:00,1,1.0,0,0,0,CL-LL,ancud
CL0077,Mehuín,-39.433,-73.1999,2021-06-09,15:00:00,1,1.0,1,0,0,CL-LR,mariquina
CL0078,Toltén Viejo,-39.2062,-73.2108,2021-06-09,17:00:00,1,1.0,1,0,2,CL-AR,tolten
CL0079,Tucapel,-37.2892539894654,-71.9510771826727,2021-08-19,07:00:00,1,0.0,1,0,0,CL-BI,tucapel
CL0080,"Valle Volcanes, Puerto Montt",-41.4592,-72.9112,2022-03-08,16:59:00,1,0.0,0,0,0,CL-LL,puerto montt
CL0081,Peralillo,-34.476,-71.464,2022-07-01,18:10:00,1,0.0,0,0,0,CL-LI,peralillo
CL0082,Cobquecura,-36.077,-72.797,2022-08-15,17:59:00,0,1.0,0*,0,0,Not found,Not found
CL0083,Rio Barraza (Salamanca),-31.946495,-70.35,2023-02-04,-,1,0.0,0*,0,0,CL-CO,salamanca
CL0084,Paihuano,-30.352277,-70.439827,2023-02-06,-,1,0.0,0*,0,0,CL-CO,paihuano
CL0085,Ancud,-41.8857238981502,-73.8426691869657,2023-06-02,21:50:00,1,0.0,1,0,0,CL-LL,ancud
CL0086,Puerto Saavedra,-38.813995,-73.403686,2023-06-07,13:53:00,0,1.0,0*,0,0,Not found,Not found
CL0087,Lago Todos los Santos,-41.110048,-72.352376,2023-06-25,17:48:00,0,1.0,0*,0,0,CL-LL,puerto varas
CL0088,Lago Llanquihue,-41.104851,-72.75763,2023-06-26,19:35:00,0,1.0,0*,0,0,CL-LL,puerto varas
CL0089,"Las Quinientas, Futrono",-40.12569,-72.3834515,2023-06-26,16:20.00,1,0.0,0,0,0,CL-LR,futrono
CL0090,La Vara (Puerto Montt),-41.422427,-72.907528,2023-06-27,19:28:00,1,0.0,1,0,0,CL-LL,puerto montt
CL0091,"Lago Llanquihue (km 34 Ruta 225 CH,  P.Varas-Ensenada-Petrohué)",-41.224,-72.6574,2023-07-14,20:04:00,0,1.0,0*,0,0,CL-LL,puerto varas
CL0092,San Pedro de la Paz,-36.858005,-73.161822,2023-09-06,15:45:00,0,1.0,0*,0,0,Not found,Not found
CL0093,"Maiquillahue, Mariquina",-39.45966,-73.25942,2023-09-11,19:45:00,0,1.0,0*,0,0,CL-LR,mariquina
CL0094,Cercanías de Calbuco,-41.7787232012308,-73.1082635841388,2024-05-25,18:00:00,0,1.0,0,0,0,,
